trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
49,False,"{'a': 0.95, 'e': 0.00043402777777777775}",25,7,-15.46149167822843,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
50,False,"{'a': 0.95, 'e': 0.00041649312786339027}",30,0,-9.44240210071836,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
51,False,"{'a': 0.95, 'e': 0.0004}",25,0,-16.710151822558473,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
52,False,"{'a': 0.95, 'e': 0.00038446751249519417}",20,0,-31.81782879675268,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
53,False,"{'a': 0.95, 'e': 0.0003698224852071006}",25,0,-7.770221151256438,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
54,False,"{'a': 0.95, 'e': 0.000355998576005696}",25,15,-3.159345556561621,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
55,False,"{'a': 0.95, 'e': 0.0003429355281207133}",25,19,12.295152159160924,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.95, 'e': 0.00033057851239669424}",30,19,18.06099203013575,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.95, 'e': 0.00031887755102040814}",20,13,-30.217282903869535,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
58,False,"{'a': 0.95, 'e': 0.0003077870113881194}",30,0,1.2709527315061988,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
59,False,"{'a': 0.95, 'e': 0.00029726516052318666}",20,5,13.741350371816022,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.95, 'e': 0.0002872737719046251}",20,7,18.050117556643283,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.95, 'e': 0.0002777777777777778}",20,11,13.699960871106724,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.95, 'e': 0.0002687449610319806}",20,0,-48.646608512802246,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
63,False,"{'a': 0.95, 'e': 0.00026014568158168577}",25,5,-6.598334093886219,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
64,False,"{'a': 0.95, 'e': 0.0002519526329050139}",20,16,7.416594051841205,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.95, 'e': 0.000244140625}",20,1,23.60082841850527,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.95, 'e': 0.00023668639053254438}",25,7,23.694619288767377,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
67,False,"{'a': 0.95, 'e': 0.0002295684113865932}",25,8,-4.857062059077464,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
68,False,"{'a': 0.95, 'e': 0.00022276676319893073}",20,0,19.10611493196751,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
69,False,"{'a': 0.95, 'e': 0.00021626297577854672}",30,18,21.611233357505178,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.95, 'e': 0.00021003990758244065}",20,0,13.590175991484067,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
71,False,"{'a': 0.95, 'e': 0.00020408163265306123}",20,10,10.656611561322046,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.95, 'e': 0.00019837333862328903}",20,0,4.409373949491853,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
73,False,"{'a': 0.95, 'e': 0.00019290123456790122}",30,20,17.645446881361075,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.95, 'e': 0.00018765246762994934}",25,5,16.69093151898098,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.95, 'e': 0.00018261504747991235}",25,15,-0.9190215124352497,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.95, 'e': 0.00017777777777777779}",30,21,16.7832256708899,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.95, 'e': 0.00017313019390581717}",20,3,20.652376844052718,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.95, 'e': 0.00016866250632484398}",25,15,5.7351087842686015,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.95, 'e': 0.0001643655489809336}",25,14,11.368693310034288,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.95, 'e': 0.0001602307322544464}",25,10,-2.171449624597562,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
81,False,"{'a': 0.95, 'e': 0.00015625}",20,5,-23.168339835891793,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
82,False,"{'a': 0.95, 'e': 0.00015241579027587258}",20,0,22.830998661010653,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
83,False,"{'a': 0.95, 'e': 0.000148720999405116}",20,14,8.90397492893404,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.95, 'e': 0.00014515894904920887}",20,0,-20.25896674627492,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
