trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
187,False,"{'a': 0.95, 'e': 2.8905075731298415e-05}",35,18,-8.94290586019217,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
188,False,"{'a': 0.95, 'e': 2.8596757127741712e-05}",25,14,21.01814390293156,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.95, 'e': 2.8293345405160706e-05}",25,6,11.822338638970022,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
190,False,"{'a': 0.95, 'e': 2.7994736989445986e-05}",20,0,-12.074388486697176,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
191,False,"{'a': 0.95, 'e': 2.7700831024930747e-05}",20,3,31.553719608020007,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.95, 'e': 2.7411529289219047e-05}",30,18,24.039690129898524,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.95, 'e': 2.712673611111111e-05}",20,5,21.002492486556356,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.95, 'e': 2.684635829149776e-05}",20,8,19.79524544150139,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.95, 'e': 2.6570305027101713e-05}",25,14,21.374327956760197,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.95, 'e': 2.6298487836949376e-05}",25,12,24.258367364498422,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.95, 'e': 2.6030820491461892e-05}",20,5,24.59669306183751,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.95, 'e': 2.5767218944059367e-05}",20,0,29.96653492247643,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
199,False,"{'a': 0.95, 'e': 2.5507601265177022e-05}",20,14,9.71103369640499,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.95, 'e': 2.52518875785965e-05}",25,5,31.705975466622498,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.95, 'e': 2.5e-05}",20,0,30.602581005765618,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
202,False,"{'a': 0.95, 'e': 2.475186257765897e-05}",20,0,4.480488065996156,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
203,False,"{'a': 0.95, 'e': 2.450740123517302e-05}",25,3,-6.325574192633772,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
204,False,"{'a': 0.95, 'e': 2.4266543716178503e-05}",30,10,28.575244868787205,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.95, 'e': 2.4029219530949635e-05}",35,0,43.63620768904545,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
206,False,"{'a': 0.95, 'e': 2.3795359904818562e-05}",20,0,28.01533252549412,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
207,False,"{'a': 0.95, 'e': 2.356489772834386e-05}",25,12,23.02666724250535,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.95, 'e': 2.3337767509160075e-05}",30,16,29.86352671781758,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.95, 'e': 2.3113905325443786e-05}",20,13,10.460219923230984,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.95, 'e': 2.2893248780934502e-05}",30,17,11.914494634955528,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
211,False,"{'a': 0.95, 'e': 2.2675736961451248e-05}",30,22,15.215390083576699,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.95, 'e': 2.246131039284832e-05}",25,6,26.03402272555663,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.95, 'e': 2.2249911000356e-05}",25,1,33.67015879256151,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.95, 'e': 2.2041482069254335e-05}",20,14,10.679570397175786,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.95, 'e': 2.1835968206830292e-05}",25,8,28.880869509833317,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.95, 'e': 2.1633315305570577e-05}",25,4,38.55210263655571,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.95, 'e': 2.143347050754458e-05}",25,17,15.754303834002242,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.95, 'e': 2.123638216993353e-05}",20,11,-4.620220100497355,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
219,False,"{'a': 0.95, 'e': 2.1041999831664002e-05}",20,3,-14.050622624054398,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
220,False,"{'a': 0.95, 'e': 2.085027418110548e-05}",30,15,28.698629621080293,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.95, 'e': 2.066115702479339e-05}",20,0,23.093573084576054,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
222,False,"{'a': 0.95, 'e': 2.047460125714052e-05}",25,11,24.891771115314878,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.95, 'e': 2.029056083110137e-05}",30,11,32.711294802717546,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.95, 'e': 2.0108990729755272e-05}",35,2,39.60616092781954,"{0: 32, 1: 0, 2: 1, 3: 0, 4: 0}",1
225,False,"{'a': 0.95, 'e': 1.992984693877551e-05}",25,18,16.448063014460267,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.95, 'e': 1.9753086419753087e-05}",20,4,22.473260655911876,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.95, 'e': 1.9578667084344897e-05}",25,15,19.246963439761945,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.95, 'e': 1.9406547769217335e-05}",25,15,-2.730942273173137,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
229,False,"{'a': 0.95, 'e': 1.9236688211757463e-05}",20,6,24.66426340263429,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.95, 'e': 1.9069049026525047e-05}",25,17,15.300700782193637,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.95, 'e': 1.8903591682419658e-05}",20,0,32.717326532234054,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
232,False,"{'a': 0.95, 'e': 1.874027848053822e-05}",25,15,20.388297635386436,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.95, 'e': 1.8579072532699166e-05}",20,8,22.97885796071778,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.95, 'e': 1.8419937740610438e-05}",25,12,19.048171281604784,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.95, 'e': 1.826283877565929e-05}",20,10,6.587110210014686,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.95, 'e': 1.8107741059302852e-05}",25,0,26.5255143079963,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
237,False,"{'a': 0.95, 'e': 1.795461074403907e-05}",35,20,29.225648392597016,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.95, 'e': 1.780341469493849e-05}",20,13,12.15197997211807,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.95, 'e': 1.76541204717181e-05}",20,0,9.137831086268577,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
240,False,"{'a': 0.95, 'e': 1.7506696311339088e-05}",20,7,17.19933679126635,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.95, 'e': 1.736111111111111e-05}",30,11,22.652757486863923,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.95, 'e': 1.721733441228629e-05}",20,8,20.53780571679787,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.95, 'e': 1.7075336384126766e-05}",20,13,11.817543476635334,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.95, 'e': 1.6935087808430286e-05}",25,6,21.31381169330016,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.95, 'e': 1.679656006449879e-05}",25,0,-1.9003938972909022,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
246,False,"{'a': 0.95, 'e': 1.665972511453561e-05}",25,0,35.945608470255785,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
247,False,"{'a': 0.95, 'e': 1.6524555489457333e-05}",25,13,20.018926445094294,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.95, 'e': 1.6391024275106952e-05}",25,11,30.3122494921854,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.95, 'e': 1.625910509885536e-05}",25,10,28.072079295771317,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.95, 'e': 1.6128772116578765e-05}",20,11,-3.3957611399500314,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
251,False,"{'a': 0.95, 'e': 1.6e-05}",30,16,28.497511486469588,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.95, 'e': 1.5872763924382153e-05}",25,7,31.06003606786128,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.95, 'e': 1.5747039556563368e-05}",20,7,21.725029343741213,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.95, 'e': 1.5622803043322032e-05}",25,9,6.07243679147174,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
255,False,"{'a': 0.95, 'e': 1.5500031000062e-05}",25,7,33.13637782095615,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.95, 'e': 1.5378700499807768e-05}",20,7,26.828959218410716,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.95, 'e': 1.52587890625e-05}",20,0,-9.961019381343384,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
258,False,"{'a': 0.95, 'e': 1.5140274644582053e-05}",25,5,35.1153550104614,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.95, 'e': 1.5023135628868457e-05}",30,17,21.403363593129537,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.95, 'e': 1.4907350814686721e-05}",20,16,6.7867363323935725,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.95, 'e': 1.4792899408284024e-05}",25,10,23.81309588907127,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.95, 'e': 1.46797610134907e-05}",25,11,-38.76089786829454,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
263,False,"{'a': 0.95, 'e': 1.4567915622632714e-05}",25,8,13.537662530601855,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
264,False,"{'a': 0.95, 'e': 1.4457343607685523e-05}",25,20,9.628387335754223,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.95, 'e': 1.4348025711662075e-05}",35,18,25.76871909459521,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.95, 'e': 1.423994304022784e-05}",25,7,-15.500191596524537,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
267,False,"{'a': 0.95, 'e': 1.4133077053536096e-05}",25,17,-28.427064613461585,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
268,False,"{'a': 0.95, 'e': 1.4027409558276873e-05}",20,6,27.05024350072157,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.95, 'e': 1.392292269993317e-05}",25,14,19.45888920767613,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.95, 'e': 1.3819598955238318e-05}",25,13,19.229748373403105,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.95, 'e': 1.3717421124828532e-05}",20,10,21.657024910428824,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.95, 'e': 1.3616372326084885e-05}",25,0,30.948013652126246,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
273,False,"{'a': 0.95, 'e': 1.351643598615917e-05}",30,0,-9.222086818675828,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
274,False,"{'a': 0.95, 'e': 1.3417595835178253e-05}",20,0,32.040581204646365,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
275,False,"{'a': 0.95, 'e': 1.3319835899621716e-05}",30,6,45.27074472314595,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.95, 'e': 1.3223140495867768e-05}",25,10,-15.499238575176397,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
277,False,"{'a': 0.95, 'e': 1.312749422390254e-05}",20,6,23.055046002827687,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.95, 'e': 1.3032881961188077e-05}",20,12,-29.374500203065296,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
279,False,"{'a': 0.95, 'e': 1.2939288856684436e-05}",20,8,19.33424953499511,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.95, 'e': 1.2846700325021518e-05}",35,23,21.69711652833304,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.95, 'e': 1.2755102040816327e-05}",20,2,23.311932797362967,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.95, 'e': 1.2664479933131545e-05}",20,13,13.322825515386395,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.95, 'e': 1.2574820180071425e-05}",20,2,26.768562307693003,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.95, 'e': 1.2486109203511094e-05}",30,13,31.790964860445836,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.95, 'e': 1.2398333663955564e-05}",25,17,7.6094892556709866,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.95, 'e': 1.2311480455524777e-05}",25,12,-16.85155833186433,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
287,False,"{'a': 0.95, 'e': 1.2225536701061176e-05}",20,12,15.18555757161649,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.95, 'e': 1.2140489747356409e-05}",30,19,20.101658770486406,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.95, 'e': 1.2056327160493826e-05}",20,11,13.365426043064776,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.95, 'e': 1.1973036721303624e-05}",20,2,34.99525496053201,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.95, 'e': 1.1890606420927467e-05}",20,5,27.474399595405014,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.95, 'e': 1.1809024456489649e-05}",25,11,22.683794992921555,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.95, 'e': 1.1728279226871834e-05}",30,20,-2.5359703781810894,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
294,False,"{'a': 0.95, 'e': 1.1648359328588568e-05}",35,24,23.494416975157872,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.95, 'e': 1.156925355176084e-05}",20,11,18.041618974671806,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.95, 'e': 1.1490950876185005e-05}",20,0,16.28326027028592,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
297,False,"{'a': 0.95, 'e': 1.1413440467494522e-05}",20,9,18.91525837390717,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.95, 'e': 1.1336711673412011e-05}",30,7,38.90188822877795,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.95, 'e': 1.1260754020089185e-05}",30,13,29.07539264629085,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.95, 'e': 1.1185557208532343e-05}",35,25,17.62085694336638,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.95, 'e': 1.1111111111111112e-05}",25,17,10.768903600968317,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.95, 'e': 1.1037405768148255e-05}",20,15,9.992716664796074,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,False,"{'a': 0.95, 'e': 1.0964431384588396e-05}",20,0,28.650000486631733,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
304,False,"{'a': 0.95, 'e': 1.0892178326743566e-05}",20,15,8.354367544954519,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.95, 'e': 1.0820637119113573e-05}",30,0,47.64031293641,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.95, 'e': 1.0749798441279227e-05}",35,13,36.01258048256885,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.95, 'e': 1.0679653124866504e-05}",20,8,19.767138193485312,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.95, 'e': 1.0610192150579848e-05}",25,1,36.85442447644985,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
309,False,"{'a': 0.95, 'e': 1.0541406645302749e-05}",35,13,40.18049575142637,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.95, 'e': 1.0473287879263938e-05}",20,12,17.048161039003915,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
311,False,"{'a': 0.95, 'e': 1.040582726326743e-05}",25,7,-9.293527988272533,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
312,False,"{'a': 0.95, 'e': 1.0339016345984843e-05}",35,21,26.611042035021285,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
313,False,"{'a': 0.95, 'e': 1.027284681130835e-05}",30,11,30.901747735413124,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
314,False,"{'a': 0.95, 'e': 1.0207310475762742e-05}",25,15,21.3951221221202,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
315,False,"{'a': 0.95, 'e': 1.014239928597509e-05}",20,2,32.12436272706925,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
316,False,"{'a': 0.95, 'e': 1.0078105316200555e-05}",35,23,16.634146365156237,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
317,False,"{'a': 0.95, 'e': 1.00144207659029e-05}",25,19,10.657398819120232,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
318,False,"{'a': 0.95, 'e': 9.95133795738837e-06}",30,6,30.53036418851954,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,13,23.264021977177066,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",30,22,15.770780153458338,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,12,22.327912713267075,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,12,15.237015218771306,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,4,33.256328137455014,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",30,11,31.45318261704401,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,18,13.10425584312326,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,9,17.2158041333494,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,10,22.085735248637924,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,0,29.653066401238643,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
